start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	264	166	-1	-1	2	166	-1
454	664	-1	-1	-1	5	-1	-1
853	1540	1442	-1	-1	2	1442	-1
1729	2416	2318	-1	-1	2	-1	2318
2606	3316	-1	3194	3288	3	-1	-1
4016	4705	4605	-1	4677	1	-1	4605
5183	5842	5772	-1	5815	1	5772	-1
6413	6960	-1	-1	-1	5	-1	-1
7149	7859	-1	7738	7831	3	-1	-1
8827	9133	-1	-1	-1	5	-1	-1
10100	10810	-1	10689	10782	3	-1	-1
11519	11917	-1	-1	-1	5	-1	-1
12107	12667	-1	-1	-1	5	-1	-1
12857	13522	13445	-1	13494	1	13445	-1
14252	14813	-1	-1	-1	5	-1	-1
15154	15649	-1	-1	-1	5	-1	-1
16305	16992	16893	-1	-1	2	16893	-1
17181	17868	17770	-1	-1	2	-1	17770
18058	18745	18646	-1	-1	2	-1	18646
18934	19621	19523	-1	-1	2	19523	-1
19810	20520	-1	20399	20492	3	-1	-1
21093	21101	-1	-1	-1	5	-1	-1
21290	21322	-1	-1	-1	5	-1	-1
21511	22014	-1	-1	-1	5	-1	-1
