start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
59	136	-1	-1	-1	5	-1	-1
326	791	-1	-1	-1	5	-1	-1
981	997	-1	-1	-1	5	-1	-1
1187	1221	-1	-1	-1	5	-1	-1
1410	1564	-1	-1	-1	5	-1	-1
1754	2272	-1	-1	-1	5	-1	-1
2462	3172	-1	3050	3144	3	-1	-1
3781	4130	-1	-1	-1	5	-1	-1
4319	4805	-1	-1	-1	5	-1	-1
4995	5299	-1	-1	-1	5	-1	-1
5489	5493	-1	-1	-1	5	-1	-1
5682	6392	-1	6271	6364	3	-1	-1
6883	6962	-1	-1	-1	5	-1	-1
7152	7642	-1	-1	-1	5	-1	-1
7832	8115	-1	-1	-1	5	-1	-1
8304	8846	-1	-1	-1	5	-1	-1
9133	9820	9721	-1	-1	2	9721	-1
10009	10719	-1	10598	10691	3	-1	-1
11068	11086	-1	-1	-1	5	-1	-1
11275	11562	-1	-1	-1	5	-1	-1
11751	12286	-1	-1	-1	5	-1	-1
12475	13150	13064	-1	13122	1	-1	13064
13739	13945	-1	-1	-1	5	-1	-1
14135	14781	-1	14723	-1	4	-1	-1
14970	15653	15559	-1	15625	1	-1	15559
16293	16980	16881	-1	-1	2	16881	-1
17169	17856	17757	-1	-1	2	17757	-1
18046	18733	18634	-1	-1	2	-1	18634
18922	19465	-1	-1	-1	5	-1	-1
19655	20365	-1	20243	20337	3	-1	-1
21026	21071	-1	-1	-1	5	-1	-1
21261	21970	-1	21849	21942	3	-1	-1
22342	22353	-1	-1	-1	5	-1	-1
22542	22592	-1	-1	-1	5	-1	-1
