start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	149	-1	-1	-1	5	-1	-1
338	594	-1	-1	-1	5	-1	-1
783	1049	-1	-1	-1	5	-1	-1
1239	1533	-1	-1	-1	5	-1	-1
1903	2590	2492	-1	-1	2	-1	2492
2780	2949	-1	-1	-1	5	-1	-1
3232	3919	3820	-1	-1	2	-1	3820
4108	4818	-1	4697	4790	3	-1	-1
5056	5186	-1	-1	-1	5	-1	-1
5522	6209	6111	-1	-1	2	6111	-1
6399	6898	-1	-1	-1	5	-1	-1
7214	7901	7803	-1	-1	2	-1	7803
8090	8501	-1	-1	-1	5	-1	-1
8690	9400	-1	9279	9372	3	-1	-1
9760	9948	-1	-1	-1	5	-1	-1
10138	10827	10726	-1	10799	1	-1	10726
11016	11179	-1	-1	-1	5	-1	-1
11368	11645	-1	-1	-1	5	-1	-1
11835	12545	-1	12423	12517	3	-1	-1
12820	12964	-1	-1	-1	5	-1	-1
13153	13740	-1	-1	-1	5	-1	-1
13930	14224	-1	-1	-1	5	-1	-1
14413	14661	-1	-1	-1	5	-1	-1
14851	15570	15439	-1	15542	1	-1	15439
15760	15962	-1	-1	-1	5	-1	-1
16151	16829	16740	-1	16801	1	-1	16740
17019	17157	-1	-1	-1	5	-1	-1
17347	18019	17935	-1	17991	1	-1	17935
18643	19353	-1	19232	19325	3	-1	-1
19543	19805	-1	-1	-1	5	-1	-1
20062	20785	20651	-1	20757	1	20651	-1
20975	21149	-1	-1	-1	5	-1	-1
21338	21843	-1	-1	-1	5	-1	-1
