start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	331	-1	-1	-1	5	-1	-1
520	956	-1	-1	-1	5	-1	-1
1226	1913	1815	-1	-1	2	-1	1815
2222	2453	-1	-1	-1	5	-1	-1
2642	2689	-1	-1	-1	5	-1	-1
2878	3588	-1	3467	3560	3	-1	-1
3778	3801	-1	-1	-1	5	-1	-1
3990	4127	-1	-1	-1	5	-1	-1
4316	4630	-1	-1	-1	5	-1	-1
4819	5490	5408	-1	5462	1	5408	-1
5679	5684	-1	-1	-1	5	-1	-1
5874	5921	-1	-1	-1	5	-1	-1
6111	6218	-1	-1	-1	5	-1	-1
6408	6623	-1	-1	-1	5	-1	-1
6813	7397	-1	-1	-1	5	-1	-1
7587	7693	-1	-1	-1	5	-1	-1
7883	8222	-1	-1	-1	5	-1	-1
8412	8422	-1	-1	-1	5	-1	-1
8612	8616	-1	-1	-1	5	-1	-1
8806	9516	-1	9394	9488	3	-1	-1
9705	9755	-1	-1	-1	5	-1	-1
9945	10148	-1	-1	-1	5	-1	-1
10338	10993	-1	10926	-1	4	-1	-1
11182	11624	-1	-1	-1	5	-1	-1
11912	12621	-1	12500	12594	3	-1	-1
12961	13168	-1	-1	-1	5	-1	-1
13358	13908	-1	-1	-1	5	-1	-1
14273	14500	-1	-1	-1	5	-1	-1
14689	14740	-1	-1	-1	5	-1	-1
14929	15035	-1	-1	-1	5	-1	-1
15225	15267	-1	-1	-1	5	-1	-1
15457	16101	-1	16045	-1	4	-1	-1
16291	16328	-1	-1	-1	5	-1	-1
16517	16747	-1	-1	-1	5	-1	-1
17069	17779	-1	17657	17751	3	-1	-1
18290	18647	-1	-1	-1	5	-1	-1
18836	19004	-1	-1	-1	5	-1	-1
19194	19217	-1	-1	-1	5	-1	-1
