start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	340	-1	-1	-1	5	-1	-1
530	845	-1	-1	-1	5	-1	-1
1035	1717	1623	-1	1689	1	-1	1623
2431	2532	-1	-1	-1	5	-1	-1
2722	2875	-1	-1	-1	5	-1	-1
3065	3590	-1	-1	-1	5	-1	-1
3779	3909	-1	-1	-1	5	-1	-1
4276	4369	-1	-1	-1	5	-1	-1
4559	5295	5148	-1	5268	1	5148	-1
6339	6775	-1	-1	-1	5	-1	-1
6964	7719	-1	7553	-1	4	-1	-1
7908	8573	8497	-1	8545	1	8497	-1
9540	9710	-1	-1	-1	5	-1	-1
9899	10609	-1	10488	10581	3	-1	-1
11782	12232	-1	-1	-1	5	-1	-1
12421	13263	13010	-1	-1	2	13010	-1
13452	14162	-1	14041	14134	3	-1	-1
14933	15039	-1	-1	-1	5	-1	-1
15228	15685	-1	-1	-1	5	-1	-1
15875	16584	-1	16463	16556	3	-1	-1
16774	16779	-1	-1	-1	5	-1	-1
17746	17802	-1	-1	-1	5	-1	-1
17992	18494	-1	-1	-1	5	-1	-1
18684	18935	-1	-1	-1	5	-1	-1
19125	19321	-1	-1	-1	5	-1	-1
19510	19980	-1	-1	-1	5	-1	-1
20170	21011	20758	-1	-1	2	-1	20758
