start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	646	-1	525	619	3	-1	-1
905	1615	-1	1493	1587	3	-1	-1
1894	2568	2482	-1	2540	1	2482	-1
3119	3802	3708	-1	3775	1	3708	-1
4276	4949	4865	-1	4921	1	4865	-1
5234	5324	-1	-1	-1	5	-1	-1
5514	6224	-1	6102	6196	3	-1	-1
6644	7321	7232	-1	7293	1	7232	-1
7511	7521	-1	-1	-1	5	-1	-1
7710	8109	-1	-1	-1	5	-1	-1
8298	8985	8887	-1	8957	1	8887	-1
9436	9935	-1	-1	-1	5	-1	-1
10220	10907	10808	-1	-1	2	10808	-1
11096	11783	11685	-1	-1	2	-1	11685
11973	12660	12561	-1	-1	2	-1	12561
12849	13536	13438	-1	-1	2	-1	13438
13725	14412	14314	-1	-1	2	14314	-1
14602	15289	15190	-1	-1	2	15190	-1
15478	16188	-1	16067	16160	3	-1	-1
16777	17128	-1	-1	-1	5	-1	-1
17317	17328	-1	-1	-1	5	-1	-1
17517	18227	-1	18106	18199	3	-1	-1
18779	19489	-1	19368	19461	3	-1	-1
19896	19936	-1	-1	-1	5	-1	-1
20238	20541	-1	-1	-1	5	-1	-1
20817	21527	-1	21406	21499	3	-1	-1
21806	21993	-1	-1	-1	5	-1	-1
