start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
418	1105	1007	-1	-1	2	-1	1007
1383	2093	-1	1972	2065	3	-1	-1
2493	2605	-1	-1	-1	5	-1	-1
3086	3796	-1	3674	3768	3	-1	-1
4278	4944	4866	-1	4916	1	4866	-1
5364	6074	-1	5952	6046	3	-1	-1
6263	6279	-1	-1	-1	5	-1	-1
6640	7327	7229	-1	-1	2	-1	7229
7516	7851	-1	-1	-1	5	-1	-1
8041	8099	-1	-1	-1	5	-1	-1
8289	8964	8877	-1	8936	1	-1	8877
9455	10037	-1	-1	-1	5	-1	-1
10362	11038	10951	-1	11010	1	-1	10951
11333	11398	-1	-1	-1	5	-1	-1
11587	12263	12176	-1	12235	1	12176	-1
12679	13389	-1	13267	13361	3	-1	-1
14040	14412	-1	-1	-1	5	-1	-1
14601	15315	15190	-1	-1	2	-1	15190
15505	16179	16093	-1	16151	1	-1	16093
16827	17464	-1	17416	-1	4	-1	-1
17654	18324	18243	-1	18296	1	-1	18243
18514	19182	19102	-1	19154	1	-1	19102
19372	19380	-1	-1	-1	5	-1	-1
19570	20280	-1	20158	20252	3	-1	-1
20469	20597	-1	-1	-1	5	-1	-1
20787	21167	-1	-1	-1	5	-1	-1
21356	21628	-1	-1	-1	5	-1	-1
21818	22139	-1	-1	-1	5	-1	-1
22329	22763	-1	-1	-1	5	-1	-1
23076	23786	-1	23665	23758	3	-1	-1
