start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	191	-1	-1	-1	5	-1	-1
381	797	-1	-1	-1	5	-1	-1
987	1387	-1	-1	-1	5	-1	-1
1729	2438	-1	2317	2411	3	-1	-1
2795	2894	-1	-1	-1	5	-1	-1
3084	3137	-1	-1	-1	5	-1	-1
3326	3554	-1	-1	-1	5	-1	-1
3744	4454	-1	4332	4426	3	-1	-1
4773	4881	-1	-1	-1	5	-1	-1
5168	5479	-1	-1	-1	5	-1	-1
5669	6198	-1	-1	-1	5	-1	-1
6387	6486	-1	-1	-1	5	-1	-1
6675	6690	-1	-1	-1	5	-1	-1
7042	7752	-1	7631	7724	3	-1	-1
8360	8455	-1	-1	-1	5	-1	-1
8645	9163	-1	-1	-1	5	-1	-1
9352	10015	9941	-1	9987	1	9941	-1
10433	10465	-1	-1	-1	5	-1	-1
10654	10711	-1	-1	-1	5	-1	-1
10901	11047	-1	-1	-1	5	-1	-1
11236	11484	-1	-1	-1	5	-1	-1
11673	12100	-1	-1	-1	5	-1	-1
12289	12955	12877	-1	12927	1	12877	-1
13419	13467	-1	-1	-1	5	-1	-1
13656	13911	-1	-1	-1	5	-1	-1
14101	14497	-1	-1	-1	5	-1	-1
14742	15426	15331	-1	15398	1	-1	15331
15744	15751	-1	-1	-1	5	-1	-1
15941	16044	-1	-1	-1	5	-1	-1
16233	16632	-1	-1	-1	5	-1	-1
16821	17364	-1	-1	-1	5	-1	-1
17553	18263	-1	18142	18235	3	-1	-1
18594	18796	-1	-1	-1	5	-1	-1
18986	19063	-1	-1	-1	5	-1	-1
19253	19765	-1	-1	-1	5	-1	-1
19954	20350	-1	-1	-1	5	-1	-1
20576	20583	-1	-1	-1	5	-1	-1
20772	21000	-1	-1	-1	5	-1	-1
