start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
358	369	-1	-1	-1	5	-1	-1
661	678	-1	-1	-1	5	-1	-1
868	1007	-1	-1	-1	5	-1	-1
1197	1869	1786	-1	1841	1	1786	-1
2291	2319	-1	-1	-1	5	-1	-1
2563	2601	-1	-1	-1	5	-1	-1
2790	2836	-1	-1	-1	5	-1	-1
3025	3302	-1	-1	-1	5	-1	-1
3492	3851	-1	-1	-1	5	-1	-1
4040	4750	-1	4629	4722	3	-1	-1
5545	5637	-1	-1	-1	5	-1	-1
5826	6256	-1	-1	-1	5	-1	-1
6446	6465	-1	-1	-1	5	-1	-1
6655	7336	7243	-1	7308	1	7243	-1
8303	8381	-1	-1	-1	5	-1	-1
8570	9014	-1	-1	-1	5	-1	-1
9203	9573	-1	-1	-1	5	-1	-1
9762	10320	-1	-1	-1	5	-1	-1
10509	10919	-1	-1	-1	5	-1	-1
11108	11657	-1	-1	-1	5	-1	-1
11846	12556	-1	12435	12528	3	-1	-1
13319	13370	-1	-1	-1	5	-1	-1
13560	13722	-1	-1	-1	5	-1	-1
13912	14142	-1	-1	-1	5	-1	-1
14331	14612	-1	-1	-1	5	-1	-1
14852	15287	-1	-1	-1	5	-1	-1
15476	16151	16065	-1	16123	1	16065	-1
16869	16873	-1	-1	-1	5	-1	-1
17063	17076	-1	-1	-1	5	-1	-1
17265	17385	-1	-1	-1	5	-1	-1
17574	17935	-1	-1	-1	5	-1	-1
18124	18664	-1	-1	-1	5	-1	-1
