start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	289	-1	-1	-1	5	-1	-1
479	883	-1	-1	-1	5	-1	-1
1072	1734	-1	1660	-1	4	-1	-1
1924	1960	-1	-1	-1	5	-1	-1
2150	2875	2738	-1	2847	1	2738	-1
3842	4009	-1	-1	-1	5	-1	-1
4199	4664	-1	-1	-1	5	-1	-1
4853	5563	-1	5442	5535	3	-1	-1
6074	6423	-1	-1	-1	5	-1	-1
6613	7283	7202	-1	7255	1	7202	-1
7696	8270	-1	-1	-1	5	-1	-1
8459	9008	-1	-1	-1	5	-1	-1
9198	9707	-1	-1	-1	5	-1	-1
9897	10427	-1	-1	-1	5	-1	-1
10617	11326	-1	11205	11299	3	-1	-1
12114	12824	-1	12703	12796	3	-1	-1
13508	13756	-1	-1	-1	5	-1	-1
13946	14642	14534	-1	14614	1	14534	-1
15035	15100	-1	-1	-1	5	-1	-1
15289	15754	-1	-1	-1	5	-1	-1
15944	16654	-1	16532	16626	3	-1	-1
17620	17660	-1	-1	-1	5	-1	-1
17850	18551	18438	-1	18523	1	-1	18438
18806	18809	-1	-1	-1	5	-1	-1
18999	19003	-1	-1	-1	5	-1	-1
19192	19276	-1	-1	-1	5	-1	-1
19465	19578	-1	-1	-1	5	-1	-1
19767	19989	-1	-1	-1	5	-1	-1
