start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
725	1388	1313	-1	1360	1	-1	1313
1784	2300	-1	-1	-1	5	-1	-1
2578	3288	-1	3166	3260	3	-1	-1
3697	4372	4285	-1	4344	1	-1	4285
4846	5422	-1	-1	-1	5	-1	-1
5612	6003	-1	-1	-1	5	-1	-1
6193	6611	-1	-1	-1	5	-1	-1
6801	7488	7390	-1	-1	2	7390	-1
7677	8363	8266	-1	8335	1	-1	8266
8699	9350	-1	9287	-1	4	-1	-1
9678	10261	-1	-1	-1	5	-1	-1
10451	11138	11040	-1	-1	2	-1	11040
11327	12037	-1	11916	12009	3	-1	-1
12289	12429	-1	-1	-1	5	-1	-1
12618	13057	-1	-1	-1	5	-1	-1
13456	14143	14045	-1	-1	2	14045	-1
14332	15042	-1	14921	15014	3	-1	-1
15544	16212	-1	16133	-1	4	-1	-1
16608	17318	-1	17197	17290	3	-1	-1
17757	18430	18346	-1	18402	1	-1	18346
18855	19252	-1	-1	-1	5	-1	-1
19442	19443	-1	-1	-1	5	-1	-1
19669	20356	20257	-1	-1	2	-1	20257
20545	21064	-1	-1	-1	5	-1	-1
21253	21266	-1	-1	-1	5	-1	-1
21456	22166	-1	22045	22138	3	-1	-1
22501	22786	-1	-1	-1	5	-1	-1
22976	23302	-1	-1	-1	5	-1	-1
23491	23501	-1	-1	-1	5	-1	-1
23691	24378	24279	-1	-1	2	24279	-1
24567	25254	25156	-1	-1	2	-1	25156
