start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
34	522	-1	-1	-1	5	-1	-1
795	1482	1384	-1	-1	2	-1	1384
1672	2137	-1	-1	-1	5	-1	-1
2508	3175	3096	-1	3147	1	3096	-1
3599	4276	4188	-1	4248	1	4188	-1
4703	5001	-1	-1	-1	5	-1	-1
5340	6050	-1	5929	6022	3	-1	-1
6378	7046	6966	-1	7019	1	6966	-1
7417	8126	-1	8005	8099	3	-1	-1
8526	9200	9115	-1	9172	1	9115	-1
9502	9818	-1	-1	-1	5	-1	-1
10007	10717	-1	10596	10689	3	-1	-1
11122	11832	-1	11710	11804	3	-1	-1
12189	12899	-1	12777	12871	3	-1	-1
13179	13799	-1	13768	-1	4	-1	-1
14125	14812	14713	-1	-1	2	14713	-1
15002	15076	-1	-1	-1	5	-1	-1
15266	15976	-1	15854	15948	3	-1	-1
16359	17069	-1	16948	17041	3	-1	-1
17554	18241	18143	-1	-1	2	-1	18143
18431	18655	-1	-1	-1	5	-1	-1
18963	19650	19552	-1	-1	2	-1	19552
19840	20527	20429	-1	-1	2	20429	-1
20717	21404	21305	-1	-1	2	-1	21305
21593	22303	-1	22181	22275	3	-1	-1
22653	22962	-1	-1	-1	5	-1	-1
