start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	303	-1	-1	-1	5	-1	-1
492	1174	1081	-1	1146	1	1081	-1
1696	1811	-1	-1	-1	5	-1	-1
2000	2234	-1	-1	-1	5	-1	-1
2423	2434	-1	-1	-1	5	-1	-1
2920	3057	-1	-1	-1	5	-1	-1
3247	3639	-1	-1	-1	5	-1	-1
3829	4370	-1	-1	-1	5	-1	-1
4560	4960	-1	-1	-1	5	-1	-1
5149	5991	5738	-1	-1	2	-1	5738
6339	6411	-1	-1	-1	5	-1	-1
6601	7072	-1	-1	-1	5	-1	-1
7416	7929	-1	-1	-1	5	-1	-1
8118	8828	-1	8707	8800	3	-1	-1
9795	10595	-1	10383	-1	4	-1	-1
10785	10929	-1	-1	-1	5	-1	-1
11119	11804	11707	-1	11777	1	11707	-1
12771	12775	-1	-1	-1	5	-1	-1
12964	12998	-1	-1	-1	5	-1	-1
13187	13411	-1	-1	-1	5	-1	-1
13600	14005	-1	-1	-1	5	-1	-1
14195	14905	-1	14783	14877	3	-1	-1
15871	16345	-1	-1	-1	5	-1	-1
16535	16666	-1	-1	-1	5	-1	-1
16855	17565	-1	17444	17537	3	-1	-1
17977	17987	-1	-1	-1	5	-1	-1
18177	18245	-1	-1	-1	5	-1	-1
18434	18740	-1	-1	-1	5	-1	-1
18930	19486	-1	-1	-1	5	-1	-1
