start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
169	189	-1	-1	-1	5	-1	-1
434	519	-1	-1	-1	5	-1	-1
803	868	-1	-1	-1	5	-1	-1
1058	1571	-1	-1	-1	5	-1	-1
1760	1896	-1	-1	-1	5	-1	-1
2085	2719	-1	2674	-1	4	-1	-1
2908	3013	-1	-1	-1	5	-1	-1
3203	3866	3791	-1	3838	1	3791	-1
4195	4208	-1	-1	-1	5	-1	-1
4397	4623	-1	-1	-1	5	-1	-1
4812	5437	-1	5400	-1	4	-1	-1
5626	5811	-1	-1	-1	5	-1	-1
6001	6107	-1	-1	-1	5	-1	-1
6297	6531	-1	-1	-1	5	-1	-1
6721	6882	-1	-1	-1	5	-1	-1
7072	7706	-1	7660	-1	4	-1	-1
7896	7949	-1	-1	-1	5	-1	-1
8139	8808	8728	-1	8780	1	8728	-1
8997	9022	-1	-1	-1	5	-1	-1
9318	9481	-1	-1	-1	5	-1	-1
9670	10328	10259	-1	10300	1	10259	-1
10683	10820	-1	-1	-1	5	-1	-1
11009	11319	-1	-1	-1	5	-1	-1
11508	12027	-1	-1	-1	5	-1	-1
12217	12517	-1	-1	-1	5	-1	-1
12707	13071	-1	-1	-1	5	-1	-1
13261	13513	-1	-1	-1	5	-1	-1
13702	13821	-1	-1	-1	5	-1	-1
14010	14671	14599	-1	14643	1	14599	-1
15004	15097	-1	-1	-1	5	-1	-1
15287	15340	-1	-1	-1	5	-1	-1
15757	16208	-1	-1	-1	5	-1	-1
16397	16894	-1	-1	-1	5	-1	-1
17083	17098	-1	-1	-1	5	-1	-1
17287	17493	-1	-1	-1	5	-1	-1
17682	18300	-1	18270	-1	4	-1	-1
18490	18520	-1	-1	-1	5	-1	-1
18710	18970	-1	-1	-1	5	-1	-1
19159	19616	-1	-1	-1	5	-1	-1
19806	19965	-1	-1	-1	5	-1	-1
20154	20536	-1	-1	-1	5	-1	-1
20725	20863	-1	-1	-1	5	-1	-1
