start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	25	-1	-1	-1	5	-1	-1
215	272	-1	-1	-1	5	-1	-1
461	548	-1	-1	-1	5	-1	-1
738	784	-1	-1	-1	5	-1	-1
973	1481	-1	-1	-1	5	-1	-1
1815	1823	-1	-1	-1	5	-1	-1
2012	2027	-1	-1	-1	5	-1	-1
2217	2899	2805	-1	2871	1	-1	2805
3445	3515	-1	-1	-1	5	-1	-1
3705	3972	-1	-1	-1	5	-1	-1
4162	4827	4750	-1	4799	1	4750	-1
5579	6239	6167	-1	6211	1	6167	-1
6428	6438	-1	-1	-1	5	-1	-1
7218	7518	-1	-1	-1	5	-1	-1
7708	8022	-1	-1	-1	5	-1	-1
8212	8655	-1	-1	-1	5	-1	-1
8845	9157	-1	-1	-1	5	-1	-1
9346	9996	-1	9935	-1	4	-1	-1
10185	10514	-1	-1	-1	5	-1	-1
10703	11384	11292	-1	11356	1	11292	-1
12359	13069	-1	12947	13041	3	-1	-1
14036	14303	-1	-1	-1	5	-1	-1
14493	15168	15081	-1	15140	1	15081	-1
15705	15734	-1	-1	-1	5	-1	-1
16155	16661	-1	-1	-1	5	-1	-1
16850	17239	-1	-1	-1	5	-1	-1
17624	17633	-1	-1	-1	5	-1	-1
17822	18408	-1	-1	-1	5	-1	-1
18597	18821	-1	-1	-1	5	-1	-1
