start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
192	902	-1	781	874	3	-1	-1
1253	1481	-1	-1	-1	5	-1	-1
1849	2559	-1	2437	2531	3	-1	-1
2865	2967	-1	-1	-1	5	-1	-1
3306	3674	-1	-1	-1	5	-1	-1
3864	4003	-1	-1	-1	5	-1	-1
4193	4880	4781	-1	-1	2	-1	4781
5069	5779	-1	5658	5751	3	-1	-1
6108	6288	-1	-1	-1	5	-1	-1
6648	6926	-1	-1	-1	5	-1	-1
7201	7877	7789	-1	7849	1	7789	-1
8251	8698	-1	-1	-1	5	-1	-1
8963	9672	-1	9551	9645	3	-1	-1
10025	10503	-1	-1	-1	5	-1	-1
10692	11368	-1	11280	-1	4	-1	-1
11557	12267	-1	12146	12239	3	-1	-1
12610	12693	-1	-1	-1	5	-1	-1
12883	13593	-1	13472	13565	3	-1	-1
13783	13790	-1	-1	-1	5	-1	-1
13980	14260	-1	-1	-1	5	-1	-1
14585	15245	-1	15174	-1	4	-1	-1
15467	15923	-1	-1	-1	5	-1	-1
16112	16822	-1	16701	16794	3	-1	-1
17012	17302	-1	-1	-1	5	-1	-1
17631	18149	-1	-1	-1	5	-1	-1
18338	18911	-1	-1	-1	5	-1	-1
19100	19275	-1	-1	-1	5	-1	-1
19507	19723	-1	-1	-1	5	-1	-1
19913	20236	-1	-1	-1	5	-1	-1
20470	20832	-1	-1	-1	5	-1	-1
21022	21709	21610	-1	-1	2	-1	21610
21898	22608	-1	22487	22580	3	-1	-1
22798	22898	-1	-1	-1	5	-1	-1
23088	23784	23676	-1	23756	1	-1	23676
24028	24169	-1	-1	-1	5	-1	-1
24359	24554	-1	-1	-1	5	-1	-1
