start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
110	187	-1	-1	-1	5	-1	-1
413	522	-1	-1	-1	5	-1	-1
712	1422	-1	1300	1394	3	-1	-1
1960	1962	-1	-1	-1	5	-1	-1
2519	2524	-1	-1	-1	5	-1	-1
2713	3447	3302	-1	3419	1	-1	3302
4191	4407	-1	-1	-1	5	-1	-1
4597	4815	-1	-1	-1	5	-1	-1
5004	5338	-1	-1	-1	5	-1	-1
5527	5553	-1	-1	-1	5	-1	-1
5871	6028	-1	-1	-1	5	-1	-1
6217	6522	-1	-1	-1	5	-1	-1
6712	7421	-1	7300	7394	3	-1	-1
7937	8202	-1	-1	-1	5	-1	-1
8391	9065	8980	-1	9037	1	-1	8980
10031	10048	-1	-1	-1	5	-1	-1
10237	10444	-1	-1	-1	5	-1	-1
10634	11344	-1	11222	11316	3	-1	-1
12152	12162	-1	-1	-1	5	-1	-1
12351	13066	12940	-1	13038	1	12940	-1
13633	13705	-1	-1	-1	5	-1	-1
13894	13958	-1	-1	-1	5	-1	-1
14147	14302	-1	-1	-1	5	-1	-1
14492	15202	-1	15080	15174	3	-1	-1
16168	16282	-1	-1	-1	5	-1	-1
