start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	614	516	-1	-1	2	516	-1
895	1582	1483	-1	-1	2	1483	-1
1940	2627	2529	-1	-1	2	2529	-1
2817	3504	3405	-1	-1	2	3405	-1
3693	3748	-1	-1	-1	5	-1	-1
3938	4177	-1	-1	-1	5	-1	-1
4797	5338	-1	-1	-1	5	-1	-1
5714	6401	6303	-1	-1	2	6303	-1
6591	7278	7179	-1	-1	2	-1	7179
7467	7703	-1	-1	-1	5	-1	-1
7893	8603	-1	8481	8575	3	-1	-1
9089	9582	-1	-1	-1	5	-1	-1
9901	10425	-1	-1	-1	5	-1	-1
10807	11494	11396	-1	-1	2	11396	-1
11684	12371	12272	-1	-1	2	12272	-1
12561	13248	13149	-1	-1	2	-1	13149
13437	14124	14026	-1	-1	2	14026	-1
14313	15000	14902	-1	-1	2	-1	14902
15190	15900	-1	15778	15872	3	-1	-1
16407	16989	-1	-1	-1	5	-1	-1
17178	17848	17767	-1	17820	1	17767	-1
18212	18874	18801	-1	18846	1	18801	-1
19248	19916	19837	-1	19888	1	19837	-1
20377	20959	-1	-1	-1	5	-1	-1
21148	21214	-1	-1	-1	5	-1	-1
