start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	25	-1	-1	-1	5	-1	-1
215	801	-1	-1	-1	5	-1	-1
990	1559	-1	-1	-1	5	-1	-1
1748	2177	-1	-1	-1	5	-1	-1
2367	3029	2955	-1	3002	1	2955	-1
3219	3258	-1	-1	-1	5	-1	-1
3448	3569	-1	-1	-1	5	-1	-1
3759	4040	-1	-1	-1	5	-1	-1
4229	4650	-1	-1	-1	5	-1	-1
4840	4881	-1	-1	-1	5	-1	-1
5071	5443	-1	-1	-1	5	-1	-1
5632	5758	-1	-1	-1	5	-1	-1
5947	6282	-1	-1	-1	5	-1	-1
6471	7157	7060	-1	7129	1	-1	7060
7387	7548	-1	-1	-1	5	-1	-1
7737	7779	-1	-1	-1	5	-1	-1
7969	8633	8557	-1	8605	1	8557	-1
8823	8824	-1	-1	-1	5	-1	-1
9077	9523	-1	-1	-1	5	-1	-1
9712	10135	-1	-1	-1	5	-1	-1
10325	10857	-1	-1	-1	5	-1	-1
11046	11419	-1	-1	-1	5	-1	-1
11608	12033	-1	-1	-1	5	-1	-1
12223	12239	-1	-1	-1	5	-1	-1
12604	12717	-1	-1	-1	5	-1	-1
12907	13617	-1	13496	13589	3	-1	-1
14072	14260	-1	-1	-1	5	-1	-1
14450	15119	15038	-1	15091	1	15038	-1
15537	15644	-1	-1	-1	5	-1	-1
15834	16116	-1	-1	-1	5	-1	-1
16306	16772	-1	-1	-1	5	-1	-1
16961	17671	-1	17550	17643	3	-1	-1
17861	18472	-1	18449	-1	4	-1	-1
18792	18802	-1	-1	-1	5	-1	-1
19160	19172	-1	-1	-1	5	-1	-1
19361	19498	-1	-1	-1	5	-1	-1
19688	20116	-1	-1	-1	5	-1	-1
20305	20749	-1	-1	-1	5	-1	-1
20939	20967	-1	-1	-1	5	-1	-1
