start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
99	222	-1	-1	-1	5	-1	-1
412	803	-1	-1	-1	5	-1	-1
993	1361	-1	-1	-1	5	-1	-1
1550	2064	-1	-1	-1	5	-1	-1
2253	2670	-1	-1	-1	5	-1	-1
2859	3121	-1	-1	-1	5	-1	-1
3311	3787	-1	-1	-1	5	-1	-1
3977	4374	-1	-1	-1	5	-1	-1
4563	4579	-1	-1	-1	5	-1	-1
4769	5433	5357	-1	5405	1	5357	-1
5782	5964	-1	-1	-1	5	-1	-1
6154	6697	-1	-1	-1	5	-1	-1
6887	6937	-1	-1	-1	5	-1	-1
7126	7247	-1	-1	-1	5	-1	-1
7437	7549	-1	-1	-1	5	-1	-1
7738	8425	8327	-1	-1	2	-1	8327
8615	9024	-1	-1	-1	5	-1	-1
9298	9332	-1	-1	-1	5	-1	-1
9521	9613	-1	-1	-1	5	-1	-1
9802	10512	-1	10390	10484	3	-1	-1
11006	11331	-1	-1	-1	5	-1	-1
11520	11998	-1	-1	-1	5	-1	-1
12187	12601	-1	-1	-1	5	-1	-1
12790	12855	-1	-1	-1	5	-1	-1
13104	13184	-1	-1	-1	5	-1	-1
13374	13687	-1	-1	-1	5	-1	-1
13876	14095	-1	-1	-1	5	-1	-1
14285	14625	-1	-1	-1	5	-1	-1
14814	14831	-1	-1	-1	5	-1	-1
15075	15154	-1	-1	-1	5	-1	-1
15343	15360	-1	-1	-1	5	-1	-1
15550	16259	-1	16138	16232	3	-1	-1
16449	16465	-1	-1	-1	5	-1	-1
16654	16974	-1	-1	-1	5	-1	-1
17163	17873	-1	17752	17845	3	-1	-1
18466	18479	-1	-1	-1	5	-1	-1
18669	18784	-1	-1	-1	5	-1	-1
18974	19661	19563	-1	-1	2	-1	19563
19851	20023	-1	-1	-1	5	-1	-1
20213	20372	-1	-1	-1	5	-1	-1
20562	20590	-1	-1	-1	5	-1	-1
20780	20972	-1	-1	-1	5	-1	-1
