start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	435	-1	-1	-1	5	-1	-1
625	875	-1	-1	-1	5	-1	-1
1064	1635	-1	-1	-1	5	-1	-1
1825	2174	-1	-1	-1	5	-1	-1
2363	3073	-1	2952	3045	3	-1	-1
3567	3599	-1	-1	-1	5	-1	-1
4036	4580	-1	-1	-1	5	-1	-1
4770	5138	-1	-1	-1	5	-1	-1
5328	5847	-1	-1	-1	5	-1	-1
6036	6230	-1	-1	-1	5	-1	-1
6420	7130	-1	7008	7102	3	-1	-1
7647	7683	-1	-1	-1	5	-1	-1
8428	8741	-1	-1	-1	5	-1	-1
8930	9414	-1	-1	-1	5	-1	-1
9604	10046	-1	-1	-1	5	-1	-1
10235	10599	-1	-1	-1	5	-1	-1
10788	11532	11377	-1	11504	1	11377	-1
12172	12213	-1	-1	-1	5	-1	-1
12647	13127	-1	-1	-1	5	-1	-1
13316	13658	-1	-1	-1	5	-1	-1
13847	14207	-1	-1	-1	5	-1	-1
14456	14940	-1	-1	-1	5	-1	-1
15129	15286	-1	-1	-1	5	-1	-1
15475	16185	-1	16064	16157	3	-1	-1
17152	17265	-1	-1	-1	5	-1	-1
