start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
497	627	-1	-1	-1	5	-1	-1
816	1526	-1	1405	1498	3	-1	-1
2609	3319	-1	3197	3291	3	-1	-1
4286	4497	-1	-1	-1	5	-1	-1
4686	5250	-1	-1	-1	5	-1	-1
5440	6150	-1	6028	6122	3	-1	-1
7401	7432	-1	-1	-1	5	-1	-1
7621	8331	-1	8210	8303	3	-1	-1
9079	9172	-1	-1	-1	5	-1	-1
9564	9963	-1	-1	-1	5	-1	-1
10152	10862	-1	10741	10834	3	-1	-1
11829	12155	-1	-1	-1	5	-1	-1
12344	13054	-1	12932	13026	3	-1	-1
13716	13791	-1	-1	-1	5	-1	-1
13980	14325	-1	-1	-1	5	-1	-1
14515	15202	15103	-1	-1	2	-1	15103
15392	16087	15980	-1	16059	1	15980	-1
17456	17602	-1	-1	-1	5	-1	-1
